1736458893.395820 server started (3409348): version 3.4, socket /tmp/tmux-208764/default, protocol 8
1736458893.395843 on Linux 6.8.0-47-generic #47-Ubuntu SMP PREEMPT_DYNAMIC Fri Sep 27 21:40:26 UTC 2024
1736458893.395850 using libevent 2.1.12-stable poll
1736458893.395853 using ncurses 6.4 20240113
1736458893.404372 cmd_parse_build_commands: resize-pane -R 5
1736458893.404374 args_parse_flags: next -N
1736458893.404377 args_parse_flag_argument: -N = Resize the pane right by 5
1736458893.404379 args_parse_flags: next -r
1736458893.404381 args_parse_flags: -r
1736458893.404383 args_parse_flags: next M-Right
1736458893.404386 args_parse: flags end at 4 of 6
1736458893.404388 args_parse: 4 = M-Right (type STRING)
1736458893.404391 args_parse: 5 = resize-pane -R 5 (type COMMANDS)
1736458893.404398 cmd_parse_build_commands: bind-key -r -N "Resize the pane right by 5" M-Right { resize-pane -R 5 }
1736458893.404401 cmdq_get_command: [bind-key/0x632616ce7ab0] group 650
1736458893.404403 cmdq_append <global>: [bind-key/0x632616ce7ab0]
1736458893.404407 yylex_token: end at WS
1736458893.404409 yylex_token: bind
1736458893.404412 yylex_token: end at WS
1736458893.404414 yylex_token: -N
1736458893.404416 yylex_token: end at WS
1736458893.404419 yylex_token: Resize the pane up
1736458893.404421 yylex_token: end at WS
1736458893.404423 yylex_token: -r
1736458893.404425 yylex_token: end at WS
1736458893.404428 yylex_token: C-Up
1736458893.404430 yylex_token: end at WS
1736458893.404432 yylex_token: resize-pane
1736458893.404435 yylex_token: end at WS
1736458893.404437 yylex_token: -U
1736458893.404440 cmd_parse_build_commands 0:0: bind
1736458893.404442 cmd_parse_build_commands 0:1: -N
1736458893.404445 cmd_parse_build_commands 0:2: Resize the pane up
1736458893.404447 cmd_parse_build_commands 0:3: -r
1736458893.404449 cmd_parse_build_commands 0:4: C-Up
1736458893.404452 cmd_parse_build_commands 0:5 0:0: resize-pane
1736458893.404454 cmd_parse_build_commands 0:5 0:1: -U
1736458893.404457 cmd_parse_build_commands 0:0: resize-pane
1736458893.404460 cmd_parse_build_commands 0:1: -U
1736458893.404463 args_parse_flags: next -U
1736458893.404465 args_parse_flags: -U
1736458893.404468 args_parse: flags end at 2 of 2
1736458893.404471 cmd_parse_build_commands: resize-pane -U
1736458893.404473 args_parse_flags: next -N
1736458893.404476 args_parse_flag_argument: -N = Resize the pane up
1736458893.404478 args_parse_flags: next -r
1736458893.404480 args_parse_flags: -r
1736458893.404482 args_parse_flags: next C-Up
1736458893.404485 args_parse: flags end at 4 of 6
1736458893.404487 args_parse: 4 = C-Up (type STRING)
1736458893.404490 args_parse: 5 = resize-pane -U (type COMMANDS)
1736458893.404496 cmd_parse_build_commands: bind-key -r -N "Resize the pane up" C-Up { resize-pane -U }
1736458893.404499 cmdq_get_command: [bind-key/0x632616ce80b0] group 658
1736458893.404502 cmdq_append <global>: [bind-key/0x632616ce80b0]
1736458893.404505 yylex_token: end at WS
1736458893.404507 yylex_token: bind
1736458893.404510 yylex_token: end at WS
1736458893.404512 yylex_token: -N
1736458893.404515 yylex_token: end at WS
1736458893.404517 yylex_token: Resize the pane down
1736458893.404519 yylex_token: end at WS
1736458893.404521 yylex_token: -r
1736458893.404524 yylex_token: end at WS
1736458893.404526 yylex_token: C-Down
1736458893.404528 yylex_token: end at WS
1736458893.404531 yylex_token: resize-pane
1736458893.404533 yylex_token: end at WS
1736458893.404535 yylex_token: -D
1736458893.404538 cmd_parse_build_commands 0:0: bind
1736458893.404540 cmd_parse_build_commands 0:1: -N
1736458893.404543 cmd_parse_build_commands 0:2: Resize the pane down
1736458893.404545 cmd_parse_build_commands 0:3: -r
1736458893.404548 cmd_parse_build_commands 0:4: C-Down
1736458893.404550 cmd_parse_build_commands 0:5 0:0: resize-pane
1736458893.404553 cmd_parse_build_commands 0:5 0:1: -D
1736458893.404556 cmd_parse_build_commands 0:0: resize-pane
1736458893.404561 cmd_parse_build_commands 0:1: -D
1736458893.404564 args_parse_flags: next -D
1736458893.404566 args_parse_flags: -D
1736458893.404569 args_parse: flags end at 2 of 2
1736458893.404572 cmd_parse_build_commands: resize-pane -D
1736458893.404574 args_parse_flags: next -N
1736458893.404577 args_parse_flag_argument: -N = Resize the pane down
1736458893.404579 args_parse_flags: next -r
1736458893.404581 args_parse_flags: -r
1736458893.404584 args_parse_flags: next C-Down
1736458893.404586 args_parse: flags end at 4 of 6
1736458893.404588 args_parse: 4 = C-Down (type STRING)
1736458893.404591 args_parse: 5 = resize-pane -D (type COMMANDS)
1736458893.404597 cmd_parse_build_commands: bind-key -r -N "Resize the pane down" C-Down { resize-pane -D }
1736458893.404600 cmdq_get_command: [bind-key/0x632616ce85c0] group 666
1736458893.404603 cmdq_append <global>: [bind-key/0x632616ce85c0]
1736458893.404609 yylex_token: end at WS
1736458893.404612 yylex_token: bind
1736458893.404614 yylex_token: end at WS
1736458893.404616 yylex_token: -N
1736458893.404619 yylex_token: end at WS
1736458893.404621 yylex_token: Resize the pane left
1736458893.404624 yylex_token: end at WS
1736458893.404626 yylex_token: -r
1736458893.404628 yylex_token: end at WS
1736458893.404630 yylex_token: C-Left
1736458893.404633 yylex_token: end at WS
1736458893.404635 yylex_token: resize-pane
1736458893.404637 yylex_token: end at WS
1736458893.404639 yylex_token: -L
1736458893.404642 cmd_parse_build_commands 0:0: bind
1736458893.404645 cmd_parse_build_commands 0:1: -N
1736458893.404647 cmd_parse_build_commands 0:2: Resize the pane left
1736458893.404650 cmd_parse_build_commands 0:3: -r
1736458893.404652 cmd_parse_build_commands 0:4: C-Left
1736458893.404655 cmd_parse_build_commands 0:5 0:0: resize-pane
1736458893.404657 cmd_parse_build_commands 0:5 0:1: -L
1736458893.404660 cmd_parse_build_commands 0:0: resize-pane
1736458893.404662 cmd_parse_build_commands 0:1: -L
1736458893.404666 args_parse_flags: next -L
1736458893.404668 args_parse_flags: -L
1736458893.404670 args_parse: flags end at 2 of 2
1736458893.404673 cmd_parse_build_commands: resize-pane -L
1736458893.404676 args_parse_flags: next -N
1736458893.404678 args_parse_flag_argument: -N = Resize the pane left
1736458893.404681 args_parse_flags: next -r
1736458893.404683 args_parse_flags: -r
1736458893.404685 args_parse_flags: next C-Left
1736458893.404687 args_parse: flags end at 4 of 6
1736458893.404690 args_parse: 4 = C-Left (type STRING)
1736458893.404693 args_parse: 5 = resize-pane -L (type COMMANDS)
1736458893.404698 cmd_parse_build_commands: bind-key -r -N "Resize the pane left" C-Left { resize-pane -L }
1736458893.404701 cmdq_get_command: [bind-key/0x632616ce8c10] group 674
1736458893.404704 cmdq_append <global>: [bind-key/0x632616ce8c10]
1736458893.404707 yylex_token: end at WS
1736458893.404709 yylex_token: bind
1736458893.404712 yylex_token: end at WS
1736458893.404714 yylex_token: -N
1736458893.404717 yylex_token: end at WS
1736458893.404719 yylex_token: Resize the pane right
1736458893.404721 yylex_token: end at WS
1736458893.404723 yylex_token: -r
1736458893.404726 yylex_token: end at WS
1736458893.404728 yylex_token: C-Right
1736458893.404731 yylex_token: end at WS
1736458893.404733 yylex_token: resize-pane
1736458893.404735 yylex_token: end at WS
1736458893.404737 yylex_token: -R
1736458893.404740 cmd_parse_build_commands 0:0: bind
1736458893.404742 cmd_parse_build_commands 0:1: -N
1736458893.404745 cmd_parse_build_commands 0:2: Resize the pane right
1736458893.404747 cmd_parse_build_commands 0:3: -r
1736458893.404750 cmd_parse_build_commands 0:4: C-Right
1736458893.404752 cmd_parse_build_commands 0:5 0:0: resize-pane
1736458893.404755 cmd_parse_build_commands 0:5 0:1: -R
1736458893.404758 cmd_parse_build_commands 0:0: resize-pane
1736458893.404760 cmd_parse_build_commands 0:1: -R
1736458893.404763 args_parse_flags: next -R
1736458893.404766 args_parse_flags: -R
1736458893.404768 args_parse: flags end at 2 of 2
1736458893.404771 cmd_parse_build_commands: resize-pane -R
1736458893.404776 args_parse_flags: next -N
1736458893.404783 args_parse_flag_argument: -N = Resize the pane right
1736458893.404785 args_parse_flags: next -r
1736458893.404787 args_parse_flags: -r
1736458893.404789 args_parse_flags: next C-Right
1736458893.404792 args_parse: flags end at 4 of 6
1736458893.404794 args_parse: 4 = C-Right (type STRING)
1736458893.404797 args_parse: 5 = resize-pane -R (type COMMANDS)
1736458893.404803 cmd_parse_build_commands: bind-key -r -N "Resize the pane right" C-Right { resize-pane -R }
1736458893.404806 cmdq_get_command: [bind-key/0x632616ce91b0] group 682
1736458893.404809 cmdq_append <global>: [bind-key/0x632616ce91b0]
1736458893.404813 yylex_token: end at WS
1736458893.404815 yylex_token: bind
1736458893.404817 yylex_token: end at WS
1736458893.404819 yylex_token: <
1736458893.404822 yylex_token: end at WS
1736458893.404824 yylex_token: display-menu
1736458893.404826 yylex_token: end at WS
1736458893.404828 yylex_token: -xW
1736458893.404831 yylex_token: end at WS
1736458893.404833 yylex_token: -yW
1736458893.404835 yylex_token: end at WS
1736458893.404837 yylex_token: -T
1736458893.404841 yylex_token: end at WS
1736458893.404844 yylex_token: #[align=centre]#{window_index}:#{window_name}
1736458893.404847 yylex_token: end at WS
1736458893.404850 yylex_token: #{?#{>:#{session_windows},1},,-}Swap Left
1736458893.404852 yylex_token: end at WS
1736458893.404854 yylex_token: l
1736458893.404857 yylex_token: end at WS
1736458893.404859 yylex_token: swap-window
1736458893.404862 yylex_token: end at }
1736458893.404864 yylex_token: -t:-1
1736458893.404868 yylex_token: end at WS
1736458893.404871 yylex_token: #{?#{>:#{session_windows},1},,-}Swap Right
1736458893.404873 yylex_token: end at WS
1736458893.404875 yylex_token: r
1736458893.404878 yylex_token: end at WS
1736458893.404880 yylex_token: swap-window
1736458893.404882 yylex_token: end at }
1736458893.404884 yylex_token: -t:+1
1736458893.404888 yylex_token: end at WS
1736458893.404890 yylex_token: #{?pane_marked_set,,-}Swap Marked
1736458893.404893 yylex_token: end at WS
1736458893.404895 yylex_token: s
1736458893.404898 yylex_token: end at }
1736458893.404900 yylex_token: swap-window
1736458893.404902 yylex_token: end at WS
1736458893.404910 yylex_token: 
1736458893.404914 yylex_token: end at WS
1736458893.404916 yylex_token: Kill
1736458893.404919 yylex_token: end at WS
1736458893.404921 yylex_token: X
1736458893.404924 yylex_token: end at }
1736458893.404929 yylex_token: kill-window
1736458893.404932 yylex_token: end at WS
1736458893.404934 yylex_token: Respawn
1736458893.404936 yylex_token: end at WS
1736458893.404938 yylex_token: R
1736458893.404941 yylex_token: end at WS
1736458893.404943 yylex_token: respawn-window
1736458893.404945 yylex_token: end at }
1736458893.404948 yylex_token: -k
1736458893.404951 yylex_token: end at WS
1736458893.404953 yylex_token: #{?pane_marked,Unmark,Mark}
1736458893.404956 yylex_token: end at WS
1736458893.404958 yylex_token: m
1736458893.404960 yylex_token: end at WS
1736458893.404962 yylex_token: select-pane
1736458893.404965 yylex_token: end at }
1736458893.404967 yylex_token: -m
1736458893.404970 yylex_token: end at WS
1736458893.404972 yylex_token: Rename
1736458893.404974 yylex_token: end at WS
1736458893.404976 yylex_token: n
1736458893.404979 yylex_token: end at WS
1736458893.404981 yylex_token: command-prompt
1736458893.404983 yylex_token: end at WS
1736458893.404985 yylex_token: -FI
1736458893.404988 yylex_token: end at WS
1736458893.404990 yylex_token: #W
1736458893.404993 yylex_token: end at WS
1736458893.404995 yylex_token: rename-window
1736458893.404997 yylex_token: end at WS
1736458893.404999 yylex_token: -t
1736458893.405002 yylex_token: end at WS
1736458893.405004 yylex_token: #{window_id}
1736458893.405006 yylex_token: end at WS
1736458893.405008 yylex_token: --
1736458893.405011 yylex_token: end at }
1736458893.405013 yylex_token: %%
1736458893.405016 yylex_token: end at WS
1736458893.405018 yylex_token: 
1736458893.405020 yylex_token: end at WS
1736458893.405022 yylex_token: New After
1736458893.405027 yylex_token: end at WS
1736458893.405029 yylex_token: w
1736458893.405032 yylex_token: end at WS
1736458893.405034 yylex_token: new-window
1736458893.405036 yylex_token: end at }
1736458893.405038 yylex_token: -a
1736458893.405041 yylex_token: end at WS
1736458893.405043 yylex_token: New At End
1736458893.405045 yylex_token: end at WS
1736458893.405048 yylex_token: W
1736458893.405050 yylex_token: end at }
1736458893.405052 yylex_token: new-window
1736458893.405056 cmd_parse_build_commands 0:0: bind
1736458893.405058 cmd_parse_build_commands 0:1: <
1736458893.405061 cmd_parse_build_commands 0:2 0:0: display-menu
1736458893.405064 cmd_parse_build_commands 0:2 0:1: -xW
1736458893.405066 cmd_parse_build_commands 0:2 0:2: -yW
1736458893.405068 cmd_parse_build_commands 0:2 0:3: -T
1736458893.405071 cmd_parse_build_commands 0:2 0:4: #[align=centre]#{window_index}:#{window_name}
1736458893.405074 cmd_parse_build_commands 0:2 0:5: #{?#{>:#{session_windows},1},,-}Swap Left
1736458893.405076 cmd_parse_build_commands 0:2 0:6: l
1736458893.405079 cmd_parse_build_commands 0:2 0:7 0:0: swap-window
1736458893.405082 cmd_parse_build_commands 0:2 0:7 0:1: -t:-1
1736458893.405084 cmd_parse_build_commands 0:2 0:8: #{?#{>:#{session_windows},1},,-}Swap Right
1736458893.405087 cmd_parse_build_commands 0:2 0:9: r
1736458893.405090 cmd_parse_build_commands 0:2 0:10 0:0: swap-window
1736458893.405092 cmd_parse_build_commands 0:2 0:10 0:1: -t:+1
1736458893.405095 cmd_parse_build_commands 0:2 0:11: #{?pane_marked_set,,-}Swap Marked
1736458893.405097 cmd_parse_build_commands 0:2 0:12: s
1736458893.405100 cmd_parse_build_commands 0:2 0:13 0:0: swap-window
1736458893.405102 cmd_parse_build_commands 0:2 0:14: 
1736458893.405105 cmd_parse_build_commands 0:2 0:15: Kill
1736458893.405107 cmd_parse_build_commands 0:2 0:16: X
1736458893.405110 cmd_parse_build_commands 0:2 0:17 0:0: kill-window
1736458893.405112 cmd_parse_build_commands 0:2 0:18: Respawn
1736458893.405115 cmd_parse_build_commands 0:2 0:19: R
1736458893.405117 cmd_parse_build_commands 0:2 0:20 0:0: respawn-window
1736458893.405120 cmd_parse_build_commands 0:2 0:20 0:1: -k
1736458893.405123 cmd_parse_build_commands 0:2 0:21: #{?pane_marked,Unmark,Mark}
1736458893.405125 cmd_parse_build_commands 0:2 0:22: m
1736458893.405131 cmd_parse_build_commands 0:2 0:23 0:0: select-pane
1736458893.405133 cmd_parse_build_commands 0:2 0:23 0:1: -m
1736458893.405136 cmd_parse_build_commands 0:2 0:24: Rename
1736458893.405138 cmd_parse_build_commands 0:2 0:25: n
1736458893.405141 cmd_parse_build_commands 0:2 0:26 0:0: command-prompt
1736458893.405143 cmd_parse_build_commands 0:2 0:26 0:1: -FI
1736458893.405145 cmd_parse_build_commands 0:2 0:26 0:2: #W
1736458893.405148 cmd_parse_build_commands 0:2 0:26 0:3 0:0: rename-window
1736458893.405151 cmd_parse_build_commands 0:2 0:26 0:3 0:1: -t
1736458893.405153 cmd_parse_build_commands 0:2 0:26 0:3 0:2: #{window_id}
1736458893.405155 cmd_parse_build_commands 0:2 0:26 0:3 0:3: --
1736458893.405158 cmd_parse_build_commands 0:2 0:26 0:3 0:4: %%
1736458893.405160 cmd_parse_build_commands 0:2 0:27: 
1736458893.405163 cmd_parse_build_commands 0:2 0:28: New After
1736458893.405165 cmd_parse_build_commands 0:2 0:29: w
1736458893.405168 cmd_parse_build_commands 0:2 0:30 0:0: new-window
1736458893.405170 cmd_parse_build_commands 0:2 0:30 0:1: -a
1736458893.405172 cmd_parse_build_commands 0:2 0:31: New At End
1736458893.405175 cmd_parse_build_commands 0:2 0:32: W
1736458893.405177 cmd_parse_build_commands 0:2 0:33 0:0: new-window
1736458893.405180 cmd_parse_build_commands 0:0: display-menu
1736458893.405183 cmd_parse_build_commands 0:1: -xW
1736458893.405185 cmd_parse_build_commands 0:2: -yW
1736458893.405187 cmd_parse_build_commands 0:3: -T
1736458893.405190 cmd_parse_build_commands 0:4: #[align=centre]#{window_index}:#{window_name}
1736458893.405193 cmd_parse_build_commands 0:5: #{?#{>:#{session_windows},1},,-}Swap Left
1736458893.405195 cmd_parse_build_commands 0:6: l
1736458893.405197 cmd_parse_build_commands 0:7 0:0: swap-window
1736458893.405205 cmd_parse_build_commands 0:7 0:1: -t:-1
1736458893.405208 cmd_parse_build_commands 0:8: #{?#{>:#{session_windows},1},,-}Swap Right
1736458893.405210 cmd_parse_build_commands 0:9: r
1736458893.405213 cmd_parse_build_commands 0:10 0:0: swap-window
1736458893.405215 cmd_parse_build_commands 0:10 0:1: -t:+1
1736458893.405218 cmd_parse_build_commands 0:11: #{?pane_marked_set,,-}Swap Marked
1736458893.405220 cmd_parse_build_commands 0:12: s
1736458893.405223 cmd_parse_build_commands 0:13 0:0: swap-window
1736458893.405225 cmd_parse_build_commands 0:14: 
1736458893.405228 cmd_parse_build_commands 0:15: Kill
1736458893.405230 cmd_parse_build_commands 0:16: X
1736458893.405233 cmd_parse_build_commands 0:17 0:0: kill-window
1736458893.405235 cmd_parse_build_commands 0:18: Respawn
1736458893.405238 cmd_parse_build_commands 0:19: R
1736458893.405240 cmd_parse_build_commands 0:20 0:0: respawn-window
1736458893.405243 cmd_parse_build_commands 0:20 0:1: -k
1736458893.405245 cmd_parse_build_commands 0:21: #{?pane_marked,Unmark,Mark}
1736458893.405248 cmd_parse_build_commands 0:22: m
1736458893.405250 cmd_parse_build_commands 0:23 0:0: select-pane
1736458893.405253 cmd_parse_build_commands 0:23 0:1: -m
1736458893.405255 cmd_parse_build_commands 0:24: Rename
1736458893.405257 cmd_parse_build_commands 0:25: n
1736458893.405260 cmd_parse_build_commands 0:26 0:0: command-prompt
1736458893.405262 cmd_parse_build_commands 0:26 0:1: -FI
1736458893.405265 cmd_parse_build_commands 0:26 0:2: #W
1736458893.405268 cmd_parse_build_commands 0:26 0:3 0:0: rename-window
1736458893.405270 cmd_parse_build_commands 0:26 0:3 0:1: -t
1736458893.405273 cmd_parse_build_commands 0:26 0:3 0:2: #{window_id}
1736458893.405275 cmd_parse_build_commands 0:26 0:3 0:3: --
1736458893.405277 cmd_parse_build_commands 0:26 0:3 0:4: %%
1736458893.405280 cmd_parse_build_commands 0:27: 
1736458893.405282 cmd_parse_build_commands 0:28: New After
1736458893.405284 cmd_parse_build_commands 0:29: w
1736458893.405287 cmd_parse_build_commands 0:30 0:0: new-window
1736458893.405290 cmd_parse_build_commands 0:30 0:1: -a
1736458893.405292 cmd_parse_build_commands 0:31: New At End
1736458893.405294 cmd_parse_build_commands 0:32: W
1736458893.405297 cmd_parse_build_commands 0:33 0:0: new-window
1736458893.405301 cmd_parse_build_commands 0:0: swap-window
1736458893.405303 cmd_parse_build_commands 0:1: -t:-1
1736458893.405307 args_parse_flags: next -t:-1
1736458893.405309 args_parse_flag_argument: -t = :-1
1736458893.405312 args_parse: flags end at 2 of 2
1736458893.405316 cmd_parse_build_commands: swap-window -t :-1
1736458893.405319 cmd_parse_build_commands 0:0: swap-window
1736458893.405321 cmd_parse_build_commands 0:1: -t:+1
1736458893.405325 args_parse_flags: next -t:+1
1736458893.405327 args_parse_flag_argument: -t = :+1
1736458893.405330 args_parse: flags end at 2 of 2
1736458893.405333 cmd_parse_build_commands: swap-window -t :+1
1736458893.405339 cmd_parse_build_commands 0:0: swap-window
1736458893.405343 args_parse: flags end at 1 of 1
1736458893.405345 cmd_parse_build_commands: swap-window
1736458893.405350 cmd_parse_build_commands 0:0: kill-window
1736458893.405354 args_parse: flags end at 1 of 1
1736458893.405356 cmd_parse_build_commands: kill-window
1736458893.405367 cmd_parse_build_commands 0:0: respawn-window
1736458893.405369 cmd_parse_build_commands 0:1: -k
1736458893.405373 args_parse_flags: next -k
1736458893.405375 args_parse_flags: -k
1736458893.405378 args_parse: flags end at 2 of 2
1736458893.405381 cmd_parse_build_commands: respawn-window -k
1736458893.405384 cmd_parse_build_commands 0:0: select-pane
1736458893.405386 cmd_parse_build_commands 0:1: -m
1736458893.405390 args_parse_flags: next -m
1736458893.405392 args_parse_flags: -m
1736458893.405395 args_parse: flags end at 2 of 2
1736458893.405398 cmd_parse_build_commands: select-pane -m
1736458893.405404 cmd_parse_build_commands 0:0: command-prompt
1736458893.405407 cmd_parse_build_commands 0:1: -FI
1736458893.405409 cmd_parse_build_commands 0:2: #W
1736458893.405412 cmd_parse_build_commands 0:3 0:0: rename-window
1736458893.405417 cmd_parse_build_commands 0:3 0:1: -t
1736458893.405420 cmd_parse_build_commands 0:3 0:2: #{window_id}
1736458893.405422 cmd_parse_build_commands 0:3 0:3: --
1736458893.405424 cmd_parse_build_commands 0:3 0:4: %%
1736458893.405427 cmd_parse_build_commands 0:0: rename-window
1736458893.405430 cmd_parse_build_commands 0:1: -t
1736458893.405432 cmd_parse_build_commands 0:2: #{window_id}
1736458893.405435 cmd_parse_build_commands 0:3: --
1736458893.405437 cmd_parse_build_commands 0:4: %%
1736458893.405443 args_parse_flags: next -t
1736458893.405445 args_parse_flag_argument: -t = #{window_id}
1736458893.405448 args_parse_flags: next --
1736458893.405450 args_parse: flags end at 4 of 5
1736458893.405452 args_parse: 4 = %% (type STRING)
1736458893.405458 cmd_parse_build_commands: rename-window -t "#{window_id}" "%%"
1736458893.405461 args_parse_flags: next -FI
1736458893.405463 args_parse_flags: -F
1736458893.405466 args_parse_flag_argument: -I = #W
1736458893.405468 args_parse: flags end at 3 of 4
1736458893.405473 args_parse: 3 = rename-window -t "#{window_id}" "%%" (type COMMANDS)
1736458893.405480 cmd_parse_build_commands: command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" }
1736458893.405487 cmd_parse_build_commands 0:0: new-window
1736458893.405489 cmd_parse_build_commands 0:1: -a
1736458893.405493 args_parse_flags: next -a
1736458893.405495 args_parse_flags: -a
1736458893.405498 args_parse: flags end at 2 of 2
1736458893.405501 cmd_parse_build_commands: new-window -a
1736458893.405504 cmd_parse_build_commands 0:0: new-window
1736458893.405508 args_parse: flags end at 1 of 1
1736458893.405510 cmd_parse_build_commands: new-window
1736458893.405513 args_parse_flags: next -xW
1736458893.405516 args_parse_flag_argument: -x = W
1736458893.405518 args_parse_flags: next -yW
1736458893.405520 args_parse_flag_argument: -y = W
1736458893.405522 args_parse_flags: next -T
1736458893.405525 args_parse_flag_argument: -T = #[align=centre]#{window_index}:#{window_name}
1736458893.405528 args_parse_flags: next #{?#{>:#{session_windows},1},,-}Swap Left
1736458893.405531 args_parse: flags end at 5 of 34
1736458893.405533 args_parse: 5 = #{?#{>:#{session_windows},1},,-}Swap Left (type STRING)
1736458893.405536 args_parse: 6 = l (type STRING)
1736458893.405540 args_parse: 7 = swap-window -t :-1 (type COMMANDS)
1736458893.405543 args_parse: 8 = #{?#{>:#{session_windows},1},,-}Swap Right (type STRING)
1736458893.405546 args_parse: 9 = r (type STRING)
1736458893.405550 args_parse: 10 = swap-window -t :+1 (type COMMANDS)
1736458893.405553 args_parse: 11 = #{?pane_marked_set,,-}Swap Marked (type STRING)
1736458893.405555 args_parse: 12 = s (type STRING)
1736458893.405558 args_parse: 13 = swap-window (type COMMANDS)
1736458893.405561 args_parse: 14 =  (type STRING)
1736458893.405564 args_parse: 15 = Kill (type STRING)
1736458893.405566 args_parse: 16 = X (type STRING)
1736458893.405569 args_parse: 17 = kill-window (type COMMANDS)
1736458893.405572 args_parse: 18 = Respawn (type STRING)
1736458893.405574 args_parse: 19 = R (type STRING)
1736458893.405579 args_parse: 20 = respawn-window -k (type COMMANDS)
1736458893.405582 args_parse: 21 = #{?pane_marked,Unmark,Mark} (type STRING)
1736458893.405584 args_parse: 22 = m (type STRING)
1736458893.405588 args_parse: 23 = select-pane -m (type COMMANDS)
1736458893.405590 args_parse: 24 = Rename (type STRING)
1736458893.405593 args_parse: 25 = n (type STRING)
1736458893.405600 args_parse: 26 = command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } (type COMMANDS)
1736458893.405603 args_parse: 27 =  (type STRING)
1736458893.405605 args_parse: 28 = New After (type STRING)
1736458893.405608 args_parse: 29 = w (type STRING)
1736458893.405611 args_parse: 30 = new-window -a (type COMMANDS)
1736458893.405615 args_parse: 31 = New At End (type STRING)
1736458893.405618 args_parse: 32 = W (type STRING)
1736458893.405621 args_parse: 33 = new-window (type COMMANDS)
1736458893.405660 cmd_parse_build_commands: display-menu -T "#[align=centre]#{window_index}:#{window_name}" -x W -y W "#{?#{>:#{session_windows},1},,-}Swap Left" l { swap-window -t :-1 } "#{?#{>:#{session_windows},1},,-}Swap Right" r { swap-window -t :+1 } "#{?pane_marked_set,,-}Swap Marked" s { swap-window } '' Kill X { kill-window } Respawn R { respawn-window -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } Rename n { command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } } '' "New After" w { new-window -a } "New At End" W { new-window }
1736458893.405666 args_parse_flags: next <
1736458893.405669 args_parse: flags end at 1 of 3
1736458893.405671 args_parse: 1 = < (type STRING)
1736458893.405706 args_parse: 2 = display-menu -T "#[align=centre]#{window_index}:#{window_name}" -x W -y W "#{?#{>:#{session_windows},1},,-}Swap Left" l { swap-window -t :-1 } "#{?#{>:#{session_windows},1},,-}Swap Right" r { swap-window -t :+1 } "#{?pane_marked_set,,-}Swap Marked" s { swap-window } '' Kill X { kill-window } Respawn R { respawn-window -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } Rename n { command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } } '' "New After" w { new-window -a } "New At End" W { new-window } (type COMMANDS)
1736458893.405744 cmd_parse_build_commands: bind-key < { display-menu -T "#[align=centre]#{window_index}:#{window_name}" -x W -y W "#{?#{>:#{session_windows},1},,-}Swap Left" l { swap-window -t :-1 } "#{?#{>:#{session_windows},1},,-}Swap Right" r { swap-window -t :+1 } "#{?pane_marked_set,,-}Swap Marked" s { swap-window } '' Kill X { kill-window } Respawn R { respawn-window -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } Rename n { command-prompt -F -I "#W" { rename-window -t "#{window_id}" "%%" } } '' "New After" w { new-window -a } "New At End" W { new-window } }
1736458893.405750 cmdq_get_command: [bind-key/0x632616ceb4d0] group 690
1736458893.405753 cmdq_append <global>: [bind-key/0x632616ceb4d0]
1736458893.405759 yylex_token: end at WS
1736458893.405762 yylex_token: bind
1736458893.405764 yylex_token: end at WS
1736458893.405766 yylex_token: >
1736458893.405769 yylex_token: end at WS
1736458893.405771 yylex_token: display-menu
1736458893.405774 yylex_token: end at WS
1736458893.405776 yylex_token: -xP
1736458893.405778 yylex_token: end at WS
1736458893.405780 yylex_token: -yP
1736458893.405783 yylex_token: end at WS
1736458893.405785 yylex_token: -T
1736458893.405788 yylex_token: end at WS
1736458893.405791 yylex_token: #[align=centre]#{pane_index} (#{pane_id})
1736458893.405795 yylex_token: end at WS
1736458893.405797 yylex_token: #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}
1736458893.405800 yylex_token: end at WS
1736458893.405802 yylex_token: <
1736458893.405804 yylex_token: end at WS
1736458893.405807 yylex_token: send
1736458893.405809 yylex_token: end at WS
1736458893.405811 yylex_token: -X
1736458893.405814 yylex_token: end at }
1736458893.405816 yylex_token: history-top
1736458893.405820 yylex_token: end at WS
1736458893.405823 yylex_token: #{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Bottom,}
1736458893.405825 yylex_token: end at WS
1736458893.405827 yylex_token: >
1736458893.405830 yylex_token: end at WS
1736458893.405832 yylex_token: send
1736458893.405834 yylex_token: end at WS
1736458893.405836 yylex_token: -X
1736458893.405839 yylex_token: end at }
1736458893.405841 yylex_token: history-bottom
1736458893.405844 yylex_token: end at WS
1736458893.405846 yylex_token: 
1736458893.405850 yylex_token: end at WS
1736458893.405853 yylex_token: #{?mouse_word,Search For #[underscore]#{=/9/...:mouse_word},}
1736458893.405855 yylex_token: end at WS
1736458893.405857 yylex_token: C-r
